Timepoints,Liver signal - vol 3 visit 2,AIF
40483.583,424.433,214.899
40485.76,415.371,210.7
40487.94,419.176,204.545
40490.12,414.137,208.68
40492.298,418.014,204.358
40494.477,423.271,204.643
40496.655,417.811,207.529
40498.835,419.12,199.982
40501.015,414.424,208.359
40503.193,418.831,200.437
40505.372,410.238,208.601
40507.553,420.818,202.635
40509.73,418.853,207.014
40511.91,420.547,200.5
40514.087,418.972,204.446
40516.268,417.081,211.823
40518.447,419.205,201.162
40520.625,410.81,206.753
40522.805,420.292,215.145
40524.985,414.532,209.042
40527.163,420.046,203.596
40529.342,414.976,206.144
40531.523,420.947,210.104
40533.7,419.844,205.918
40535.88,419.651,207.743
40538.057,417.234,205.132
40540.238,421.495,208.488
40542.417,416.194,203.367
40544.595,419.778,205.175
40546.775,415.969,206.976
40548.955,421.495,204.411
40551.133,410.748,204.065
40553.312,420.115,206.177
40555.49,420.231,216.863
40557.67,418.115,202.484
40559.85,420.695,204.267
40562.027,413.352,211.031
40564.208,419.273,203.115
40566.387,410.969,210.473
40568.565,417.156,202.918
40570.745,419.442,209.739
40572.925,417.434,206.603
40575.102,420.19,196.942
40577.283,414.965,204.633
40579.46,420.179,197.24
40581.64,409.26,206.216
40583.82,419.519,201.041
40585.997,415.567,207.42
40588.178,420.104,200
40590.357,417.145,209.926
40592.535,417.215,198.717
40594.715,418.335,208.26
40596.895,416.277,210.852
40599.072,415.816,205.519
40601.253,412.647,204.968
40603.43,419.287,197.046
40605.61,418.87,209.411
40607.79,418.301,198.303
40609.967,418.627,199.877
40612.148,415.402,209.174
40614.327,420.624,202.996
40616.505,414.04,200.746
40618.685,419.48,199.692
40620.863,419.73,204.706
40623.042,417.659,201.838
40625.223,421.507,206.328
40627.4,419.356,203.875
40629.58,419.512,202.235
40631.76,419.657,198.021
40633.938,416.644,203.72
40636.117,421.623,199.469
40638.298,410.568,207.978
40640.475,420.976,209.849
40642.655,408.742,201.769
40644.833,419.522,202.892
40647.012,414.236,202.453
40649.193,417.13,197.548
40651.37,420.536,196.959
40653.55,414.423,205.657
40655.73,417.821,206.259
40657.908,414.907,207.774
40660.087,419.241,208.545
40662.265,420.81,209.992
40664.445,418.674,204.287
40666.625,422.489,201.664
40668.803,413.441,209.228
40670.982,419.614,210.349
40673.163,417.908,215.289
40675.34,419.852,200.146
40677.52,416.038,199.6
40679.7,418.577,206.123
40681.878,418.882,201.753
40684.057,414.122,203.761
40686.235,421.221,196.048
40688.415,419.906,202.425
40690.595,419.748,209.444
40692.773,424.103,205.487
40694.952,416.115,205.341
40697.133,420.171,200.977
40699.31,409.517,199.193
40701.49,420.786,201.512
40703.667,417.716,203.589
40705.848,415.65,201.197
40708.027,415.633,202.831
40710.205,418.943,196.301
40712.385,417.429,208.668
40718.885,422.885,228.871
40721.065,412.707,208.324
40723.242,419.28,203.078
40725.423,415.598,197.82
40727.602,417.627,200.079
40729.78,410.968,199.879
40731.96,418.522,202.326
40734.14,413.78,209.299
40736.318,420.182,205.913
40738.497,410.73,208.911
40740.678,417.63,197.918
40742.855,411.828,205.54
40745.035,416.144,203.179
40747.212,415.356,207.031
40749.393,416.946,197.131
40751.572,420.213,206.558
40753.75,418.013,197.913
40755.93,418.407,203.838
40758.11,415.855,196.662
40760.288,417.977,202.756
40762.467,407.104,199.474
